text,score,perplexity
"в большой здание",-8.91467571258545,169.30466631594163
"большой здание судебный",-11.014299392700195,566.989280469332
"здание судебный учреждение",-11.010332107543945,565.6958944963583
"судебный учреждение в",-10.019112586975098,319.7261416217416
"учреждение в время",-10.948474884033203,545.9070727048883
"в время перерыв",-9.491592407226562,235.99244608851757
"время перерыв заседание",-11.33523178100586,682.0370153955064
"перерыв заседание по",-10.225198745727539,359.9976671187308
"заседание по дело",-11.062967300415039,583.0983669292494
"по дело мельвинский",-10.174026489257812,349.54783961811006
"дело мельвинский член",-10.41086483001709,400.6048542845346
"мельвинский член и",-10.860907554626465,519.0711466720918
"член и прокурор",-9.897510528564453,298.110746556213
"и прокурор сойтись",-10.488177299499512,418.8363101226662
"прокурор сойтись в",-10.726593017578125,480.45006269828474
"сойтись в кабинет",-10.635025024414062,455.7810411184722
"в кабинет иван",-10.268600463867188,369.1051594882782
"кабинет иван егорович",-10.819093704223633,506.7262772722747
"иван егорович шебек",-10.024219512939453,320.66745000851324
"егорович шебек ,",-10.268178939819336,369.01560744901656
"шебек , и",-10.461441993713379,412.43973432143224
", и зайти",-10.436323165893555,406.51894654306506
"и зайти разговор",-10.770305633544922,492.69301856321744
"зайти разговор о",-10.819250106811523,506.7719011934942
"разговор о знаменитый",-9.607331275939941,252.25095492570745
"о знаменитый красовский",-11.091405868530273,592.7225731202975
"знаменитый красовский дело",-9.758964538574219,275.2587508298051
"красовский дело .",-7.716835021972656,84.95887549204944
"дело . федор",-10.350713729858398,386.9710113126016
". федор васильевич",-11.079296112060547,588.605109850077
"федор васильевич разгорячиться",-9.851888656616211,290.3836528828286
"васильевич разгорячиться ,",-10.776049613952637,494.3248047446306
"разгорячиться , доказывать",-11.005289077758789,564.0560599508061
", доказывать неподсудность",-10.816690444946289,506.02574301451864
"доказывать неподсудность ,",-10.304206848144531,376.74865628945724
"неподсудность , иван",-11.759504318237305,870.7151069576051
", иван егорович",-10.638202667236328,456.615517979647
"иван егорович стоять",-10.12115478515625,339.0694769193611
"егорович стоять на",-11.267866134643555,656.0947062915232
"стоять на свой",-10.320775985717773,380.35926230768115
"на свой ,",-8.439125061035156,128.76008812754557
"свой , петр",-11.271111488342285,657.3215521444519
", петр же",-10.99839973449707,561.8235422674865
"петр же иванович",-8.731632232666016,152.37301400432744
"же иванович ,",-11.228080749511719,641.2393827223464
"иванович , не",-11.119263648986816,602.3042286169235
", не вступить",-11.18027114868164,623.8321991866907
"не вступить сначала",-10.754495620727539,488.22937430585364
"вступить сначала в",-11.1195707321167,602.4107081048738
"сначала в спор",-9.459671020507812,231.69558330114705
"в спор ,",-8.887762069702148,166.7018875859213
"спор , не",-11.012042999267578,566.2533049750505
", не принимать",-9.983281135559082,313.1989402457777
"не принимать в",-10.316580772399902,379.4418185578014
"принимать в он",-11.143549919128418,610.7837580425734
"в он участие",-9.45250129699707,230.74129422289147
"он участие и",-10.276139259338379,370.71043826720665
"участие и просматривать",-9.933287620544434,304.31398076663885
"и просматривать только",-10.577645301818848,440.9723158987829
"просматривать только что",-9.80517578125,282.6792597187183
"только что поданный",-9.644988059997559,257.77869158611395
"что поданный ведомость",-10.963937759399414,550.7879621069497
"— господин !",-5.887552738189697,29.640681486715323
"господин ! —",-10.568685531616211,438.7037865405248
"! — сказать",-8.365577697753906,123.4225242597845
"— сказать он",-7.58305549621582,78.66179891417133
"сказать он ,",-8.83836555480957,162.02849150144047
"он , —",-8.29831600189209,118.73506667932725
", — иван",-10.796060562133789,500.05196766812804
"— иван ильич-то",-8.712076187133789,150.6673142660179
"иван ильич-то умереть",-10.383837699890137,394.4204506555681
"— вот ,",-6.0255913734436035,32.092078315800705
"вот , читать",-10.90526294708252,532.495248363711
", читать ,",-9.173881530761719,196.5487936856368
"читать , —",-10.265832901000977,368.51759247128695
", — сказать",-8.40499210357666,126.25483710280096
"— сказать он",-7.58305549621582,78.66179891417133
"сказать он федор",-11.57387924194336,782.4738103500604
"он федор васильевич",-9.773797988891602,277.61919924576546
"федор васильевич ,",-8.93127155303955,170.92984084877244
"васильевич , подавать",-11.333977699279785,681.5448254571091
", подавать он",-9.561551094055176,245.69016586781342
"подавать он свежий",-11.223777770996094,639.6530024476073
"он свежий ,",-9.055737495422363,183.62608454068203
"свежий , пахучий",-10.617546081542969,451.21810823791805
", пахучий еще",-11.175127983093262,621.987985441884
"пахучий еще номер",-11.078080177307129,588.1932608519011
"в черный ободок",-8.743203163146973,153.3913221293489
"черный ободок быть",-10.240912437438965,363.26880841884315
"ободок быть печатать",-10.711721420288086,476.35459085110625
"быть печатать :",-8.862154960632324,164.2626179518596
"печатать : «",-10.986072540283203,557.8508961380132
": « прасковье",-11.404045104980469,709.5961920444016
"« прасковье федоровна",-8.375567436218262,124.13431700276239
"прасковье федоровна головина",-8.771343231201172,155.89629996955338
"федоровна головина с",-11.948965072631836,971.049274592599
"головина с душевный",-11.073055267333984,586.4943285853697
"с душевный прискорбие",-10.524310111999512,427.63921927497574
"душевный прискорбие извещать",-10.579014778137207,441.3200864031852
"прискорбие извещать родные",-10.690274238586426,470.50967660077947
"извещать родные и",-10.776147842407227,494.35275705377916
"родные и знакомый",-10.767953872680664,492.0264707195375
"и знакомый о",-10.464783668518066,413.23387630506613
"знакомый о кончина",-10.959907531738281,549.5116231193168
"о кончина возлюбленный",-10.709898948669434,475.85510977675824
"кончина возлюбленный супруга",-10.64680290222168,458.88168625133613
"возлюбленный супруга свой",-10.83588695526123,511.64853955114984
"супруга свой ,",-10.618927955627441,451.57718180467214
"свой , член",-10.72526741027832,480.0835802767634
", член судебный",-10.469663619995117,414.3963342630018
"член судебный палата",-10.376775741577148,392.82031122881233
"судебный палата ,",-8.019172668457031,101.10978039238242
"палата , иван",-11.781963348388672,882.0451922302923
", иван ильич",-8.781302452087402,156.79261848381626
"иван ильич головина",-8.677850723266602,147.72795326256826
"ильич головина ,",-11.923011779785156,956.6497116661302
"головина , следовать",-10.832281112670898,510.5876173249866
", следовать 4-й",-10.903425216674805,531.9322287305629
"следовать 4-й февраль",-10.97149658203125,553.1897767451882
"4-й февраль сей",-10.833738327026367,511.0160983369502
"февраль сей 1882",-10.856851577758789,517.8606289358869
"сей 1882 год",-10.33050537109375,382.49551115064065
"1882 год .",-7.770943641662598,87.6467688931479
"год . вынос",-10.512346267700195,424.704210828064
". вынос тело",-11.546182632446289,770.0974017402656
"вынос тело в",-11.070302963256836,585.5658499068588
"тело в пятница",-10.652616500854492,460.4199413755245
"в пятница ,",-8.027263641357422,101.58180145170017
"пятница , в",-11.078570365905762,588.3592578454628
", в 1",-10.921727180480957,537.5660030746106
"в 1 час",-9.836404800415039,287.8068989564657
"1 час пополудний",-9.203250885009766,199.8999664608971
"иван ильич быть",-6.802259922027588,50.183966024863814
"ильич быть сотоварищ",-13.184473037719727,1977.508046991929
"быть сотоварищ собраться",-10.772870063781738,493.4208714149544
"сотоварищ собраться господин",-11.084548950195312,590.387613853419
"собраться господин ,",-10.379755020141602,393.4945802514797
"господин , и",-9.91477108001709,301.0875307545976
", и все",-8.916756629943848,169.50759320574517
"и все любить",-10.316875457763672,379.506190452593
"все любить он",-9.970850944519043,310.9658774435914
"любить он .",-6.513476371765137,42.498058787494145
"он . он",-7.994017124176025,99.65619036635371
". он болеть",-11.17139720916748,620.6536335900017
"он болеть уже",-10.340742111206055,384.75611227197265
"болеть уже несколько",-11.082682609558105,589.7536703207976
"уже несколько неделя",-10.410595893859863,400.5428406074725
"несколько неделя ;",-9.5707426071167,246.99357249636535
"неделя ; говорить",-11.020936965942383,569.1598306601263
"; говорить ,",-10.259117126464844,367.09568666152734
"говорить , что",-7.984610557556152,99.11802490272179
", что болезнь",-10.91489028930664,535.4544994635386
"что болезнь его",-10.983675003051758,557.0815185434811
"болезнь его неизлечимый",-11.242762565612793,646.6818043557779
"его неизлечимый .",-8.502470970153809,133.54195890501205
"неизлечимый . место",-11.14364242553711,610.8162837357967
". место оставаться",-11.205419540405273,632.9288399095228
"место оставаться за",-11.293120384216309,665.7023591879016
"оставаться за он",-11.117385864257812,601.653525764476
"за он ,",-7.740628242492676,86.13051829675852
"он , но",-8.129938125610352,107.76668689288876
", но быть",-8.422908782958984,127.56372591371635
"но быть соображение",-10.183408737182617,351.44080439716885
"быть соображение о",-10.514036178588867,425.11756024042944
"соображение о то",-11.46635627746582,735.5108257727973
"о то ,",-8.598358154296875,141.1203154484942
"то , что",-7.163541316986084,61.78532411437134
", что в",-9.302207946777344,211.61769844800804
"что в случай",-10.337641716003418,384.0700385431269
"в случай его",-10.109321594238281,336.7676749571369
"случай его смерть",-11.381179809570312,700.3174572181684
"его смерть алексеев",-10.566719055175781,438.20745709452956
"смерть алексеев мочь",-10.479315757751465,416.70521866497876
"алексеев мочь быть",-10.27273941040039,369.9856265235675
"мочь быть назначить",-11.264244079589844,654.7281592070283
"быть назначить на",-10.05507755279541,326.4144589920913
"назначить на его",-10.912487030029297,534.7142492788372
"на его место",-9.18278980255127,197.55928724247022
"его место ,",-10.14031982421875,342.83089783157044
"место , на",-10.13471794128418,341.72715058004417
", на место",-10.2963228225708,375.0426905570681
"на место же",-10.170597076416016,348.8584678664445
"место же алексеева",-10.862309455871582,519.4902057537603
"же алексеева —",-11.235149383544922,643.8539225445522
"алексеева — или",-10.841836929321289,513.4039814811316
"— или винников",-8.660400390625,146.2514220821368
"или винников ,",-9.567621231079102,246.55017082318443
"винников , или",-11.144026756286621,610.9514348028279
", или штабель",-10.730234146118164,481.4581431266646
"или штабель .",-8.415105819702148,126.99202689117881
"штабель . так",-10.332480430603027,382.9306312365848
". так что",-9.006997108459473,178.54565139706403
"так что ,",-7.801869869232178,89.22107822068955
"что , слыхать",-10.79610538482666,500.0648701835075
", слыхать о",-10.331564903259277,382.7288723424147
"слыхать о смерть",-10.613363265991211,450.13296221066486
"о смерть иван",-10.792959213256836,499.16003134466825
"смерть иван ильич",-10.323932647705078,381.05104933995995
"иван ильич ,",-6.364652633666992,39.00885099973071
"ильич , первый",-12.76671028137207,1554.8108776321985
", первый мысль",-11.10336971282959,596.8187080641717
"первый мысль каждый",-9.872278213500977,293.81201617640477
"мысль каждый из",-10.924540519714355,538.4372902267702
"каждый из господин",-10.737220764160156,483.39838045123093
"из господин ,",-9.147281646728516,193.56213853405123
"господин , собраться",-9.725555419921875,270.01559936352135
", собраться в",-10.489323616027832,419.1127800345316
"собраться в кабинет",-11.266966819763184,655.7551423226946
"в кабинет ,",-7.768364906311035,87.51675909627991
"кабинет , быть",-9.972047805786133,311.1801970298925
", быть о",-10.084648132324219,332.01830880368425
"быть о то",-10.968088150024414,552.1054541856927
"о то ,",-8.598358154296875,141.1203154484942
"то , какой",-9.240907669067383,204.28050239720454
", какой значение",-11.015692710876465,567.4442214135162
"какой значение мочь",-11.40505599975586,710.009238874529
"значение мочь иметь",-11.253239631652832,650.5937815260545
"мочь иметь этот",-11.029197692871094,571.8727770075542
"иметь этот смерть",-11.047158241271973,577.8159957723554
"этот смерть на",-10.684538841247559,468.9588221524188
"смерть на перемещение",-10.56857681274414,438.67633173140933
"на перемещение или",-10.616546630859375,450.9585835593762
"перемещение или повышение",-10.91984748840332,536.984650951084
"или повышение сам",-11.055113792419434,580.4682207045896
"повышение сам член",-11.199273109436035,630.6933870628728
"сам член или",-10.90478801727295,532.3496885474364
"член или они",-10.350166320800781,386.84909054602804
"или они знакомый",-10.708817481994629,475.5589620526138
"« теперь наверно",-8.317193984985352,120.03240180086382
"теперь наверно получить",-10.639806747436523,457.03734361353986
"наверно получить место",-11.300581932067871,668.5678416137399
"получить место штабель",-10.100140571594238,334.99254549518866
"место штабель или",-10.94532299041748,544.9174901245394
