text,score,perplexity
"все затихнуть в",-8.76446533203125,155.28028983641715
"затихнуть в москва",-10.532663345336914,429.70047754454333
"в москва .",-5.292852401733398,21.048109790322425
"москва . редко",-11.9224853515625,956.3598558595249
". редко ,",-10.268120765686035,369.00325016346886
"редко , редко",-10.19426155090332,353.6432619057007
", редко где",-10.810415267944336,504.2011326901751
"редко где слышаться",-10.321187973022461,380.44947861083074
"где слышаться визг",-11.45638656616211,731.3017985823642
"слышаться визг колесо",-9.844158172607422,289.0943095006591
"визг колесо по",-10.965127944946289,551.1654504899336
"колесо по зимний",-10.567668914794922,438.4471270659949
"по зимний улица",-10.817306518554688,506.205232050412
"зимний улица .",-8.139866828918457,108.38438239793066
"улица . в",-10.883251190185547,525.7905757304161
". в окно",-9.857353210449219,291.2985364320643
"в окно огонь",-9.949910163879395,307.2398475672678
"окно огонь уже",-11.428145408630371,719.5092012354584
"огонь уже нет",-11.398504257202148,707.3364921212153
"уже нет ,",-9.39715576171875,223.50587350420128
"нет , и",-9.964373588562012,309.8085485931801
", и фонарь",-11.027826309204102,571.4215005457555
"и фонарь потухнуть",-10.310707092285156,378.16103076949884
"фонарь потухнуть .",-8.555657386779785,137.69378768845658
"потухнуть . от",-11.0360689163208,574.1392386762705
". от церковь",-11.255195617675781,651.3267340987409
"от церковь разноситься",-10.743563652038574,485.1666196960364
"церковь разноситься звук",-10.873590469360352,522.874686670103
"разноситься звук колокол",-10.858497619628906,518.3515540405575
"звук колокол и",-11.06828784942627,584.8869915680216
"колокол и ,",-10.694247245788574,471.58698570466504
"и , колыхаться",-9.676441192626953,262.4885103147176
", колыхаться над",-11.313587188720703,673.5918086232078
"колыхаться над спять",-10.923929214477539,538.2478498570529
"над спять город",-10.928858757019043,539.7773902776428
"спять город ,",-10.350079536437988,386.8297651719778
"город , поминать",-10.441913604736328,407.8292786478907
", поминать о",-11.469534873962402,736.8578566541826
"поминать о утро",-11.283050537109375,661.8546650012029
"о утро .",-8.065457344055176,103.83991788278094
"утро . на",-9.76074504852295,275.5410202423709
". на улица",-10.422052383422852,403.1931042749115
"на улица пустой",-9.885866165161133,296.1191821868812
"улица пустой .",-8.585171699523926,140.05316409063684
"пустой . редко",-10.732685089111328,482.13790037598227
". редко где",-11.06209945678711,582.8071406741794
"редко где промесить",-10.298848152160645,375.58828529737326
"где промесить узкий",-11.373458862304688,697.2117788647773
"промесить узкий полоз",-10.687725067138672,469.8197471323514
"узкий полоз песок",-10.562660217285156,437.18480029276867
