text,score,perplexity
"через два неделя",-8.620706558227539,142.94752473416239
"два неделя дело",-10.409379005432129,400.2623596832778
"неделя дело мочь",-10.96212100982666,550.2122463313285
"дело мочь слушаться",-10.288758277893066,373.4131169943291
"мочь слушаться в",-11.754619598388672,868.2702075749647
"слушаться в сенат",-11.20751667022705,633.6933761315677
"в сенат ,",-8.065940856933594,103.86882391749843
"сенат , и",-10.83610725402832,511.7134279473932
", и к",-9.30786418914795,212.30784753368093
"и к этот",-9.623042106628418,254.54262977584105
"к этот время",-10.435819625854492,406.4011296523627
"этот время нехлюдов",-10.655386924743652,461.15479763028054
"время нехлюдов намереваться",-11.3430814743042,685.1258731726115
"нехлюдов намереваться поехать",-9.592255592346191,250.07132665280565
"намереваться поехать в",-11.313867568969727,673.7005350109862
"поехать в петербург",-9.801487922668457,282.0797958657822
"в петербург и",-8.335827827453613,121.3268596867193
"петербург и в",-11.656551361083984,820.611956171472
"и в случай",-9.534774780273438,241.93221135012723
"в случай неудача",-10.057238578796387,326.820766861694
"случай неудача в",-11.255027770996094,651.2638057442357
"неудача в сенат",-10.954294204711914,547.7388569801734
"в сенат подать",-9.978069305419922,312.26069814137344
"сенат подать прошение",-11.369596481323242,695.6633444516641
"подать прошение на",-11.16934585571289,619.9211648364383
"прошение на высочайший",-9.791267395019531,280.42507761922974
"на высочайший имя",-6.429871559143066,40.50119988595378
"высочайший имя ,",-10.36230182647705,389.5609862093026
"имя , как",-10.453469276428223,410.55119360972947
", как советовать",-10.87051010131836,521.9483455672182
"как советовать составить",-10.695178031921387,471.8397313994609
"советовать составить прошение",-11.249701499938965,649.2700576259053
"составить прошение адвокат",-10.980328559875488,556.0094077585717
"прошение адвокат .",-7.610419273376465,79.91067853398833
"адвокат . в",-9.61510181427002,253.38182133128439
". в случай",-10.833799362182617,511.0340530293528
"в случай оставление",-10.04814338684082,325.11413123106735
"случай оставление жалоба",-11.065998077392578,584.1165606262605
"оставление жалоба без",-9.826576232910156,286.18314908152996
"жалоба без последствие",-11.02309799194336,569.8682984129733
"без последствие ,",-10.100086212158203,334.9820631371926
"последствие , к",-11.21841812133789,637.6825463710405
", к что",-8.987817764282227,176.58525671870524
"к что ,",-9.540889739990234,242.7853263677394
"что , по",-9.69532585144043,265.3575586124149
", по мнение",-9.851478576660156,290.3151127179475
"по мнение адвокат",-11.579833030700684,785.160165113839
"мнение адвокат ,",-10.549489974975586,433.8828595368733
"адвокат , надо",-9.827713966369629,286.37064098165825
", надо быть",-8.3652925491333,123.40226676416043
"надо быть готовый",-10.177364349365234,350.2201158389978
"быть готовый ,",-9.098247528076172,188.17498150407957
"готовый , так",-10.069896697998047,329.21087609080024
", так как",-8.651172637939453,145.476605720685
"так как кассационный",-10.013976097106934,318.78217122064325
"как кассационный повод",-10.854734420776367,517.2298792611457
"кассационный повод очень",-11.088990211486816,591.8989272620865
"повод очень слабый",-11.254962921142578,651.2394941447014
